Date,symbol,Open,High,Low,Close,Trades,Volume,vwap,lastSize,turnover,homeNotional,foreignNotional
2019-07-24 00:00:00+00:00,XBTUSD,10320.5,10320.5,9803,9844,930306,3483479222,10035.1229,5000,3.47E+13,347144.6704,3483479222
2019-07-25 00:00:00+00:00,XBTUSD,9844,9920,9489.5,9773,869754,3473045950,9697.4399,119,3.58E+13,358146.0229,3473045950
2019-07-26 00:00:00+00:00,XBTUSD,9773,10185,9740,9871.5,652191,2410973560,10016.0256,3576,2.41E+13,240728.5035,2410973560
2019-07-27 00:00:00+00:00,XBTUSD,9871.5,9900,9606.5,9845.5,610194,2018508690,9769.4412,1000,2.07E+13,206630.9209,2018508690
2019-07-28 00:00:00+00:00,XBTUSD,9845.5,10300,9258,9463.5,718864,2938517010,9654.3734,104,3.04E+13,304377.7216,2938517010
2019-07-29 00:00:00+00:00,XBTUSD,9463.5,9748,9100,9530.5,583402,2109224537,9453.5829,600,2.23E+13,223127.4699,2109224537
2019-07-30 00:00:00+00:00,XBTUSD,9530.5,9734,9339.5,9502.5,570191,2207241220,9533.7973,400,2.32E+13,231520.8736,2207241220
2019-07-31 00:00:00+00:00,XBTUSD,9502.5,9885,9375.5,9592.5,578740,2294653128,9561.1435,1,2.40E+13,240009.5354,2294653128
2019-08-01 00:00:00+00:00,XBTUSD,9592.5,10146,9575,10088.5,684167,2646525279,9887.285,150,2.68E+13,267692.1977,2646525279
2019-08-02 00:00:00+00:00,XBTUSD,10088.5,10499,9885,10415.5,688022,2728317073,10141.9878,500,2.69E+13,269034.0832,2728317073
2019-08-03 00:00:00+00:00,XBTUSD,10415.5,10664,10325,10528,697719,2769210533,10493.1794,700,2.64E+13,263923.74,2769210533
2019-08-04 00:00:00+00:00,XBTUSD,10528,10926,10514,10819.5,714275,2571478309,10779.3468,2583,2.39E+13,238580.1766,2571478309
2019-08-05 00:00:00+00:00,XBTUSD,10819.5,11095,10570,10982,780489,3154544816,10843.6348,70,2.91E+13,290928.7602,3154544816
2019-08-06 00:00:00+00:00,XBTUSD,10982,11971,10982,11814.5,1111758,5082486227,11655.0117,1000,4.36E+13,436095.8384,5082486227
2019-08-07 00:00:00+00:00,XBTUSD,11814.5,12340,11220.5,11467,1145768,5716377385,11784.115,390,4.85E+13,485097.5751,5716377385
2019-08-08 00:00:00+00:00,XBTUSD,11467,12170,11386,11987.5,1162856,5276244947,11756.4072,200,4.49E+13,448828.5344,5276244947
2019-08-09 00:00:00+00:00,XBTUSD,11987.5,12147,11438.5,12020,1098018,4296333405,11800.8025,2000,3.64E+13,364077.684,4296333405
2019-08-10 00:00:00+00:00,XBTUSD,12020,12080.5,11651,11874,902403,3230126803,11830.1195,3000,2.73E+13,273049.784,3230126803
2019-08-11 00:00:00+00:00,XBTUSD,11874,12000,11122,11280,757357,3027196264,11500.8626,1500,2.63E+13,263242.8982,3027196264
2019-08-12 00:00:00+00:00,XBTUSD,11280,11596.5,11072.5,11531.5,584767,2097017864,11366.2196,15000,1.85E+13,184501.4718,2097017864
2019-08-13 00:00:00+00:00,XBTUSD,11531.5,11555,11222.5,11395.5,551516,1710409465,11396.0114,40,1.50E+13,150093.8391,1710409465
2019-08-14 00:00:00+00:00,XBTUSD,11395.5,11458,10758.5,10858.5,733009,3094724371,11066.8437,1,2.80E+13,279644.8157,3094724371
2019-08-15 00:00:00+00:00,XBTUSD,10858.5,10862,9913,10025,1041723,4998265897,10404.7446,96677,4.80E+13,480403.5504,4998265897
2019-08-16 00:00:00+00:00,XBTUSD,10025,10438,9475.5,10290.5,1275672,6162430723,9949.2588,70,6.19E+13,619444.8549,6162430723
2019-08-17 00:00:00+00:00,XBTUSD,10290.5,10530,9725,10350.5,1195342,5322247302,10149.1931,17794,5.24E+13,524447.9607,5322247302
2019-08-18 00:00:00+00:00,XBTUSD,10350.5,10475.5,9964.5,10204,769018,2469271372,10259.567,31,2.41E+13,240682.9452,2469271372
2019-08-19 00:00:00+00:00,XBTUSD,10204,10520,10061,10318,637697,2132196783,10317.7879,2348,2.07E+13,206656.9354,2132196783
2019-08-20 00:00:00+00:00,XBTUSD,10318,10942,10268,10925,712451,2816151521,10657.5722,5,2.64E+13,264253.5571,2816151521
2019-08-21 00:00:00+00:00,XBTUSD,10925,10959.5,10554.5,10773.5,694790,2741966202,10735.3731,900,2.55E+13,255437.0601,2741966202
2019-08-22 00:00:00+00:00,XBTUSD,10773.5,10807,9855,10129,887857,4151993497,10168.8021,1135,4.08E+13,408346.3,4151993497
2019-08-23 00:00:00+00:00,XBTUSD,10129,10230,9744,10104.5,813560,3203858195,10001.0001,87,3.20E+13,320379.7415,3203858195
2019-08-24 00:00:00+00:00,XBTUSD,10104.5,10463,10042,10401.5,648695,2333731786,10258.5146,2002,2.28E+13,227504.1033,2333731786
2019-08-25 00:00:00+00:00,XBTUSD,10401.5,10423.5,9850,10136,665317,2605988158,10097.9501,3040,2.58E+13,258083.0631,2605988158
2019-08-26 00:00:00+00:00,XBTUSD,10136,10369,9875,10135.5,748253,2557057170,10099.9899,18000,2.53E+13,253186.1561,2557057170
2019-08-27 00:00:00+00:00,XBTUSD,10135.5,10805,10137,10369,840840,3095112179,10382.0598,3872,2.98E+13,298142.0948,3095112179
2019-08-28 00:00:00+00:00,XBTUSD,10369,10384,10025,10176,887673,2440006950,10163.6345,900,2.40E+13,240087.63,2440006950
2019-08-29 00:00:00+00:00,XBTUSD,10176,10315,9497.5,9701.5,1020838,3514832496,9967.1085,200,3.53E+13,352648.7928,3514832496
2019-08-30 00:00:00+00:00,XBTUSD,9701.5,9702,9321,9491.5,822146,2455401317,9493.9713,1674,2.59E+13,258628.8733,2455401317
2019-08-31 00:00:00+00:00,XBTUSD,9491.5,9690,9341.5,9574,591205,1921000276,9531.9798,2012,2.02E+13,201540.2042,1921000276
2019-09-01 00:00:00+00:00,XBTUSD,9574,9703.5,9434.5,9602.5,473214,1385068208,9582.2154,1,1.45E+13,144551.0038,1385068208
2019-09-02 00:00:00+00:00,XBTUSD,9602.5,9844,9531,9771.5,438608,1378560767,9661.8357,4236,1.43E+13,142682.4323,1378560767
2019-09-03 00:00:00+00:00,XBTUSD,9771.5,10500,9745.5,10391,728838,3287239990,10080.6452,5000,3.26E+13,326119.6883,3287239990
2019-09-04 00:00:00+00:00,XBTUSD,10391,10783,10300,10630,821807,3730362374,10557.4324,2000,3.53E+13,353354.4455,3730362374
2019-09-05 00:00:00+00:00,XBTUSD,10630,10879,10380.5,10580.5,849000,3667564531,10576.4146,1,3.47E+13,346797.7878,3667564531
2019-09-06 00:00:00+00:00,XBTUSD,10580.5,10683,10454,10586,711100,2406367926,10570.8245,5767,2.28E+13,227646.2209,2406367926
2019-09-07 00:00:00+00:00,XBTUSD,10586,10968,10205,10310.5,937074,4202998455,10628.122,1588,3.95E+13,395466.4309,4202998455
2019-09-08 00:00:00+00:00,XBTUSD,10310.5,10576,10308,10492.5,547178,1719270081,10442.7736,140,1.65E+13,164650.106,1719270081
2019-09-09 00:00:00+00:00,XBTUSD,10492.5,10599,10252.5,10402,510768,1834957860,10437.3239,4422,1.76E+13,175819.3189,1834957860
2019-09-10 00:00:00+00:00,XBTUSD,10402,10571,10090,10318,829102,3563034952,10292.3014,26752,3.46E+13,346208.1465,3563034952
2019-09-11 00:00:00+00:00,XBTUSD,10318,10394,9892,10102.5,675497,2461539814,10171.9052,50,2.42E+13,242012.9928,2461539814
2019-09-12 00:00:00+00:00,XBTUSD,10102.5,10280,9850,10166,759281,2768292719,10058.3384,2500,2.75E+13,275235.7048,2768292719
2019-09-13 00:00:00+00:00,XBTUSD,10166,10469.5,10032,10433.5,672332,2461241420,10255.3584,100,2.40E+13,240004.0595,2461241420
2019-09-14 00:00:00+00:00,XBTUSD,10433.5,10458.5,10161.5,10370,583263,1974996040,10310.3413,1,1.92E+13,191572.3794,1974996040
2019-09-15 00:00:00+00:00,XBTUSD,10370,10447.5,10221,10364,526045,1692697317,10354.1106,110,1.63E+13,163494.8567,1692697317
2019-09-16 00:00:00+00:00,XBTUSD,10364,10387,10260,10314,374645,1114698246,10317.7879,1000,1.08E+13,108047.221,1114698246
2019-09-17 00:00:00+00:00,XBTUSD,10314,10391.5,10066,10268,547489,2217227507,10236.4623,1,2.17E+13,216615.7191,2217227507
2019-09-18 00:00:00+00:00,XBTUSD,10268,10284,10137.5,10184.5,541823,1862503320,10217.6356,1,1.82E+13,182292.0218,1862503320
2019-09-19 00:00:00+00:00,XBTUSD,10184.5,10262.5,10075,10163,445820,1517895773,10190.5635,195,1.49E+13,148962.6745,1517895773
2019-09-20 00:00:00+00:00,XBTUSD,10163,10442,9567,10282.5,719836,3368765552,9980.0399,1758,3.38E+13,337568.1479,3368765552
2019-09-21 00:00:00+00:00,XBTUSD,10282.5,10319.5,10061,10175.5,493206,1608962567,10176.0456,938,1.58E+13,158119.4329,1608962567
2019-09-22 00:00:00+00:00,XBTUSD,10175.5,10176,9902.5,9975.5,542071,1585453842,10023.053,149,1.58E+13,158191.3313,1585453842
2019-09-23 00:00:00+00:00,XBTUSD,9975.5,10100,9840.5,10026,608281,1698994877,9977.0528,972,1.70E+13,170297.1083,1698994877
2019-09-24 00:00:00+00:00,XBTUSD,10026,10049.5,9603.5,9686,756204,2783512865,9829.942,72,2.83E+13,283174.2177,2783512865
2019-09-25 00:00:00+00:00,XBTUSD,9686,9779.5,8012,8533.5,1252875,6725380596,8958.9679,1,7.51E+13,750733.8056,6725380596
2019-09-26 00:00:00+00:00,XBTUSD,8533.5,8748,8215,8430,1051314,4045724084,8426.0195,26,4.80E+13,480169.5202,4045724084
2019-09-27 00:00:00+00:00,XBTUSD,8430,8466,7736,8054,990231,4010130760,8112.2739,1000,4.94E+13,494358.9016,4010130760
2019-09-28 00:00:00+00:00,XBTUSD,8054,8265,7860,8189,758451,2456542220,8032.7737,3,3.06E+13,305832.5818,2456542220
2019-09-29 00:00:00+00:00,XBTUSD,8189,8400,8015,8207,594604,1727544035,8159.9347,100,2.12E+13,211723.201,1727544035
2019-09-30 00:00:00+00:00,XBTUSD,8207,8238.5,7900,8054,599397,1822807833,8042.4642,5309,2.27E+13,226657.5209,1822807833
2019-10-01 00:00:00+00:00,XBTUSD,8054,8344.5,7688,8299.5,866067,3373793628,8032.1285,9411,4.20E+13,420040.4031,3373793628
2019-10-02 00:00:00+00:00,XBTUSD,8299.5,8532,8200,8314,806274,2754664272,8369.6016,1,3.29E+13,329151.7921,2754664272
